variant	start_utc	end_utc	duration_sec	exit_code
default	2026-02-23T14:16:43Z	2026-02-23T14:24:04Z	441	134
heap8	2026-02-23T14:24:04Z	2026-02-23T14:33:22Z	558	134
heap8_cpus1	2026-02-23T14:33:22Z	2026-02-23T14:40:33Z	431	134
